Engineering,Western University,Mid to high 80s,Bachelor of Engineering Science, BESc,1151 Richmond St. North London, ON N6A 3K7,https://www.eng.uwo.ca/future-students/
Chemical Engineering (Co-op Only),University of Waterloo,Mid- to High 80s,Bachelor of Applied Science, BASc,200 University Ave. West Waterloo ON N2L 3G1,https://uwaterloo.ca/future-students/programs/chemical-engineering?utm_source=mur-einfo&utm_medium=referral&utm_campaign=mur-ouac
Civil Engineering (Co-op Only),University of Waterloo,Mid- to High 80s ,Bachelor of Applied Science, BASc,200 University Ave. West Waterloo ON N2L 3G1,https://uwaterloo.ca/future-students/programs/civil-engineering?utm_source=mur-einfo&utm_medium=referral&utm_campaign=mur-ouac
Computer Engineering (Co-op Only),University of Waterloo,High 80s to low 90s,Bachelor of Applied Science, BASc,200 University Ave. West Waterloo ON N2L 3G1,https://uwaterloo.ca/future-students/programs/computer-engineering?utm_source=mur-einfo&utm_medium=referral&utm_campaign=mur-ouac
Electrical Engineering (Co-op Only),University of Waterloo,High 80s to low 90s,Bachelor of Applied Science, BASc,200 University Ave. West Waterloo ON N2L 3G1,https://uwaterloo.ca/future-students/programs/electrical-engineering?utm_source=mur-einfo&utm_medium=referral&utm_campaign=mur-ouac
Environmental Engineering (Co-op Only),University of Waterloo,Mid- to High 80s ,Bachelor of Applied Science, BASc,200 University Ave. West Waterloo ON N2L 3G1,https://uwaterloo.ca/future-students/programs/environmental-engineering?utm_source=mur-einfo&utm_medium=referral&utm_campaign=mur-ouac
Geological Engineering (Co-op Only),University of Waterloo,Mid- to High 80s ,Bachelor of Applied Science, BASc,200 University Ave. West Waterloo ON N2L 3G1,https://uwaterloo.ca/future-students/programs/geological-engineering?utm_source=mur-einfo&utm_medium=referral&utm_campaign=mur-ouac
Biological Engineering (co-op and regular),University of Guelph,84 to 89%,Bachelor of Engineering, BEng,50 Stone Rd. East Guelph ON N1G 2W1,https://www.uoguelph.ca/programs/bachelor-of-engineering
Mechanical Engineering (Co-op Only),University of Waterloo,High 80s to Low 90s,Bachelor of Applied Science, BASc,200 University Ave. West Waterloo ON N2L 3G1,https://uwaterloo.ca/future-students/programs/mechanical-engineering?utm_source=mur-einfo&utm_medium=referral&utm_campaign=mur-ouac
Engineering Systems and Computing (co-op and regular),University of Guelph,84 to 89%,Bachelor of Engineering, BEng,50 Stone Rd. East Guelph ON N1G 2W1,https://www.uoguelph.ca/programs/bachelor-of-engineering
Mechatronics Engineering (Co-op Only),University of Waterloo,High 80s to Low 90s,Bachelor of Applied Science, BASc,200 University Ave. West Waterloo ON N2L 3G1,https://uwaterloo.ca/future-students/programs/mechatronics-engineering?utm_source=mur-einfo&utm_medium=referral&utm_campaign=mur-ouac
Environmental Engineering (co-op and regular),University of Guelph,84 to 89%,Bachelor of Engineering, BEng,50 Stone Rd. East Guelph ON N1G 2W1,https://www.uoguelph.ca/programs/bachelor-of-engineering
Nanotechnology Engineering (Co-op Only),University of Waterloo,Mid- to High 80s ,Bachelor of Applied Science, BASc,200 University Ave. West Waterloo ON N2L 3G1,https://uwaterloo.ca/future-students/programs/nanotechnology-engineering?utm_source=mur-einfo&utm_medium=referral&utm_campaign=mur-ouac
Water Resources Engineering (co-op and regular),University of Guelph,84 to 89%,Bachelor of Engineering, BEng,50 Stone Rd. East Guelph ON N1G 2W1,https://www.uoguelph.ca/programs/bachelor-of-engineering
Systems Design Engineering (Co-op Only),University of Waterloo,High 80s to low 90s,Bachelor of Applied Science, BASc,200 University Ave. West Waterloo ON N2L 3G1,https://uwaterloo.ca/future-students/programs/systems-design-engineering?utm_source=mur-einfo&utm_medium=referral&utm_campaign=mur-ouac
Software Engineering (Co-op Only),University of Waterloo,Low- to mid-90s,Bachelor of Software Engineering, BSE,200 University Ave. West Waterloo ON N2L 3G1,https://uwaterloo.ca/future-students/programs/software-engineering?utm_source=mur-einfo&utm_medium=referral&utm_campaign=mur-ouac
